category,amt,gender,street,city,state,zip,city_pop,job,age,day_of_week,transaction_min,transaction_hour,transaction_date,transaction_month,transaction_distance,is_fraud
Shopping Net,123.15,Female,425 Caleb Point Apt. 050,San Diego,California,92128,1241364,"Pharmacist, hospital",59,Thursday,14,2,27,6,115.01296412604795,0
Grocery Pos,128.26,Female,11014 Chad Lake Apt. 573,Heart Butte,Montana,59448,743,Water engineer,48,Saturday,40,4,25,1,52.55451289615976,0
Food Dining,112.34,Male,793 Hooper Tunnel Suite 154,Burke,Virginia,22015,43102,Health visitor,70,Sunday,57,4,31,5,108.22206808875642,0
Travel,7.22,Female,3312 Rachel Parks Suite 474,Stittville,New York,13469,847,Systems analyst,23,Thursday,36,22,28,3,44.035726231165626,0
Kids Pets,42.0,Male,458 Phillips Island Apt. 768,Denham Springs,Louisiana,70726,71335,Herbalist,25,Sunday,11,18,21,4,76.78279316764849,0
Entertainment,2.58,Female,543 Ware Path Apt. 593,Utica,Missouri,64686,271,Land/geomatics surveyor,47,Friday,50,18,22,2,60.27059431997781,0
Entertainment,22.48,Female,7202 Jeffrey Mills,Conway,Washington,98238,85,"Research officer, political party",35,Wednesday,23,12,2,10,85.46575015500312,0
Food Dining,60.88,Male,95351 Sullivan Viaduct Apt. 239,Port Charlotte,Florida,33981,79008,Quantity surveyor,35,Wednesday,23,14,14,8,86.58681072390074,0
Home,96.84,Female,083 Karen Island Apt. 656,Goreville,Illinois,62939,3119,"Teacher, secondary school",77,Wednesday,15,23,4,12,79.88867010131509,0
Entertainment,101.69,Female,312 Eric Expressway Apt. 014,Phenix City,Alabama,36869,59744,Chemical engineer,35,Monday,49,13,30,9,105.37289789600042,0
Entertainment,12.35,Female,033 Tara Brook Suite 523,Coyle,Oklahoma,73027,1493,Amenity horticulturist,35,Monday,4,21,20,4,77.60008879660354,0
Misc Pos,15.06,Female,3872 Matthew Skyway,Paris,Mississippi,38949,297,"Administrator, local government",58,Sunday,47,3,19,5,125.98884504958106,0
Entertainment,34.51,Female,67632 Martin Gateway,Fordoche,Louisiana,70732,1178,Community education officer,69,Friday,0,14,20,3,103.27074354381544,0
Entertainment,9.49,Male,0912 Mark Fields Apt. 080,Mc Veytown,Pennsylvania,17051,4653,Nutritional therapist,22,Wednesday,34,21,6,11,30.567327300147042,0
Home,32.44,Female,292 Lowe Dam Suite 858,West Palm Beach,Florida,33417,459921,Historic buildings inspector/conservation officer,59,Saturday,34,17,9,3,33.809515526432804,0
Gas Transport,37.59,Female,537 Rice Square Suite 040,Milford,Ohio,45150,31394,Hospital doctor,24,Friday,24,10,10,4,117.87598541696673,0
Home,38.18,Female,9486 Joel Common Suite 554,Topeka,Kansas,66618,163415,Secondary school teacher,15,Saturday,36,23,14,9,54.18755638413042,0
Grocery Pos,133.9,Male,40847 Stark Junctions,Big Indian,New York,12410,397,Psychiatrist,88,Wednesday,16,2,19,6,103.61367980921082,0
Personal Care,28.77,Male,3283 James Station,Fayetteville,North Carolina,28314,238602,"Scientist, research (maths)",26,Wednesday,37,20,1,5,119.6773795778801,0
Gas Transport,70.91,Male,39227 Mcpherson Shoals,Lahoma,Oklahoma,73754,1078,Podiatrist,31,Thursday,45,1,5,3,81.48574949063263,0
Health Fitness,61.8,Female,383 Long Islands,Downsville,New York,13755,1228,"Psychotherapist, child",30,Wednesday,5,16,20,5,28.59634940108446,0
Shopping Pos,7.86,Female,194 Goodman Fall Apt. 569,Burlington,Washington,98233,14871,Public house manager,46,Friday,17,22,19,6,46.625668569568816,0
Grocery Pos,104.43,Male,495 Fisher Throughway,Grand Junction,Tennessee,38039,1804,Clothing/textile technologist,46,Friday,37,9,20,3,49.65352618146239,0
Misc Pos,30.23,Male,31493 Garcia Summit,Athena,Oregon,97813,1302,Dealer,43,Sunday,23,11,25,8,79.51831858551107,0
Home,13.14,Male,838 Franklin Prairie Apt. 902,Key West,Florida,33040,32891,Town planner,32,Friday,3,15,31,5,82.74580455101996,0
Health Fitness,75.11,Male,6139 Mark Rapid Apt. 651,Christine,North Dakota,58015,291,Television floor manager,28,Sunday,44,22,15,12,75.78593932169358,0
Shopping Pos,1.12,Male,6385 Donald Square Suite 429,Springfield,Virginia,22151,104396,Production engineer,70,Saturday,44,2,8,2,79.87234199712927,0
Misc Net,1.55,Female,6343 Ramirez Skyway Apt. 518,Lakeport,California,95453,11256,Podiatrist,48,Thursday,44,0,30,4,56.18164202884957,0
Food Dining,5.18,Female,554 Mcdonald Valley Apt. 539,Meridian,Texas,76665,2526,Phytotherapist,49,Friday,40,15,6,12,75.60105810766787,0
Grocery Pos,124.7,Female,2677 Byrd Village Suite 035,San Jose,California,95148,973849,Geoscientist,23,Friday,24,16,19,6,98.58592542281808,0
Shopping Pos,8.01,Male,7118 Jessica Unions Apt. 789,Moriarty,New Mexico,87035,7268,"Therapist, art",31,Saturday,54,22,20,7,29.00113038837468,0
Entertainment,50.68,Female,68276 Matthew Springs,Ratcliff,Texas,75858,43,"Engineer, production",70,Wednesday,4,22,16,1,41.25699520029302,0
Home,65.06,Male,27203 Darrell Landing,Saint James City,Florida,33956,3776,Sport and exercise psychologist,43,Wednesday,45,19,10,4,111.61660626000666,0
Misc Pos,33.5,Male,408 Bradley Rest,Doe Hill,Virginia,24433,99,Dance movement psychotherapist,33,Wednesday,4,11,26,6,77.52193185645883,0
Food Dining,24.16,Female,08056 Alvarado Club Suite 699,Phoenix,Arizona,85086,1312922,Counselling psychologist,21,Friday,52,14,20,3,38.69828854077957,0
Home,76.65,Female,25961 Beverly Union Apt. 042,North Wilkesboro,North Carolina,28659,21134,Dispensing optician,36,Sunday,3,15,1,3,94.3327969185982,0
Grocery Pos,114.53,Female,81708 Christopher Plaza,Jordanville,New York,13361,824,Travel agency manager,35,Wednesday,35,10,25,3,101.56760446567874,0
Shopping Pos,5.67,Female,954 Reyes Ways,Fulton,South Dakota,57340,355,Financial adviser,65,Monday,25,7,10,2,45.066377140177266,0
Grocery Pos,82.78,Female,3522 Park Wells Suite 528,Cleveland,Texas,77327,34153,Building surveyor,24,Friday,27,22,19,4,78.46938864823288,0
Entertainment,82.6,Male,6366 French Field,Margaretville,New York,12455,1988,Environmental health practitioner,41,Friday,39,20,20,9,104.15427107488986,0
Kids Pets,133.68,Male,886 Nicole Key,Stillwater,Oklahoma,74074,55345,Cabin crew,72,Thursday,32,14,27,2,77.94353545636278,0
Shopping Pos,96.77,Male,295 Page Creek Suite 181,Greenbush,Virginia,23357,776,Psychiatrist,70,Sunday,41,11,27,10,70.14949709837579,0
Kids Pets,94.24,Female,79472 Stevens Trace Apt. 120,Hannawa Falls,New York,13647,69,Chief Executive Officer,29,Monday,35,21,9,3,118.95457656507345,0
Home,77.86,Male,5155 Mary Common Apt. 927,Utica,Pennsylvania,16362,1102,Garment/textile technologist,30,Sunday,21,12,15,9,57.71328620835255,0
Grocery Pos,92.1,Female,083 Karen Island Apt. 656,Goreville,Illinois,62939,3119,"Teacher, secondary school",77,Thursday,49,4,21,11,51.180100335705,0
Misc Pos,27.04,Male,822 Austin Spur,North Judson,Indiana,46366,5791,"Doctor, general practice",60,Saturday,27,1,13,7,72.41238988969921,0
Grocery Pos,124.53,Female,682 Mills Way Apt. 814,Rule,Texas,79548,932,"Physicist, medical",66,Sunday,39,7,26,1,83.82606251263614,0
Misc Pos,29.55,Male,8088 Sherman Radial Suite 689,Helm,California,93627,123,Early years teacher,46,Monday,38,2,28,10,106.456035589657,0
Entertainment,4.42,Male,32745 Silva Springs Suite 040,Grand Bay,Alabama,36541,15647,Armed forces logistics/support/administrative officer,72,Wednesday,53,3,6,5,64.4307347682935,0
Home,75.56,Male,7369 Gabriel Tunnel,Pointe Aux Pins,Michigan,49775,95,Electrical engineer,25,Friday,21,21,4,1,88.43842912502545,0
Kids Pets,10.96,Male,145 Jeffrey Key Suite 668,Lakeview,Michigan,48850,4474,Emergency planning/management officer,43,Tuesday,41,17,11,6,78.86712732028671,0
Travel,9.47,Female,5619 Mendoza Inlet,Juliette,Georgia,31046,3343,Theatre manager,29,Tuesday,21,16,12,2,108.64574196632452,0
Shopping Pos,7.93,Male,4130 Tiffany Glen Apt. 562,San Antonio,Texas,78248,1595797,Exhibition designer,44,Sunday,58,17,7,7,97.07287011360853,0
Home,45.0,Male,3539 Mckenzie Stream,Fairview,New Jersey,7022,13835,"Programmer, multimedia",53,Tuesday,15,18,26,5,111.07082056207943,0
Kids Pets,26.83,Female,12087 Michael Light,Creola,Ohio,45622,321,"Copywriter, advertising",41,Monday,24,20,25,5,101.46074332003923,0
Shopping Pos,6.51,Male,31472 Cody Place Suite 740,Kensington,Maryland,20895,19054,Operations geologist,43,Wednesday,57,12,20,11,114.58232102624237,0
Kids Pets,10.66,Male,875 Amy Point,Amorita,Oklahoma,73719,83,Barrister's clerk,61,Friday,56,16,27,9,97.28257770691637,0
Shopping Pos,3.33,Female,154 Hernandez Keys,Smith River,California,95567,1930,Web designer,36,Friday,52,12,28,6,129.7585460651576,0
Travel,9.04,Male,8738 Richard Brooks,Moab,Utah,84532,9772,Location manager,30,Monday,41,12,8,7,56.00717909942691,0
Health Fitness,31.59,Female,4900 Curtis Gardens Suite 952,Hahira,Georgia,31632,10295,"Teacher, special educational needs",23,Tuesday,21,13,9,6,71.43661269240391,0
Gas Transport,36.1,Male,69085 Short Shores,Allentown,New York,14707,239,Radio producer,63,Thursday,58,2,14,11,59.006239358167406,0
Shopping Net,104.25,Male,08966 Beltran Route Suite 905,Oaks,Pennsylvania,19456,737,Oceanographer,32,Saturday,15,3,23,3,110.90072047587282,0
Travel,6.83,Male,3603 Mitchell Court,Winfield,West Virginia,25213,5512,Exhibition designer,39,Sunday,53,14,26,5,38.56413289205733,0
Gas Transport,64.03,Female,574 David Locks Suite 207,Cottekill,New York,12419,722,Comptroller,29,Thursday,12,0,19,9,114.63956384670152,0
Health Fitness,44.42,Female,0182 Owens Burgs Suite 480,Diamond,Ohio,44412,2644,"Engineer, biomedical",37,Tuesday,31,17,16,6,48.240486441613605,0
Personal Care,117.97,Male,3539 Mckenzie Stream,Fairview,New Jersey,7022,13835,"Programmer, multimedia",53,Saturday,53,14,18,1,63.213848289000815,0
Personal Care,10.98,Female,85430 Julie Trafficway Suite 792,Mulberry Grove,Illinois,62262,1810,Race relations officer,45,Saturday,30,19,24,8,64.60460940373001,0
Gas Transport,52.39,Female,1742 Brandon Squares Apt. 461,Ruidoso,New Mexico,88355,8874,Licensed conveyancer,19,Monday,17,8,14,10,80.61809292845302,0
Kids Pets,94.23,Female,3531 Hamilton Highway,Roma,Texas,78584,18128,IT trainer,30,Monday,14,16,1,6,98.34687841310331,0
Gas Transport,67.81,Female,8619 Lisa Manors Apt. 871,Lagrange,Wyoming,82221,635,Product/process development scientist,46,Monday,33,4,17,6,74.31177809893641,0
Shopping Pos,153.89,Male,153 Mccullough Springs Apt. 857,Lamberton,Minnesota,56152,1507,Land/geomatics surveyor,26,Sunday,13,3,20,10,56.24742431491741,0
Shopping Pos,2.08,Female,32343 Saunders Course,Dongola,Illinois,62926,2263,Scientific laboratory technician,35,Sunday,46,20,26,5,80.9413503875197,0
Shopping Pos,96.36,Female,7107 Henderson Station,Cascade Locks,Oregon,97014,1288,Barrister,83,Saturday,54,2,14,9,114.33122329927122,0
Entertainment,109.04,Male,502 Rice Plaza Apt. 979,Port Ewen,New York,12466,2471,Heritage manager,53,Monday,4,17,1,4,61.28291286812594,0
Personal Care,78.51,Female,835 Reese Views Suite 884,Hopkins,South Carolina,29061,13717,Chiropodist,70,Friday,6,19,15,11,65.24884252996422,0
Personal Care,28.45,Female,0107 Clements Point,American Fork,Utah,84003,42384,Futures trader,27,Monday,21,15,5,8,106.68250937873437,0
Gas Transport,47.34,Female,1535 Ryan Burgs Suite 919,Des Moines,Iowa,50312,222785,Wellsite geologist,63,Monday,9,9,9,12,104.65039307695818,0
Gas Transport,47.61,Male,1632 Cohen Drive Suite 639,High Rolls Mountain Park,New Mexico,88325,899,Naval architect,52,Sunday,13,0,10,3,122.80324473401048,0
Misc Pos,28.11,Female,117 Natasha Vista Suite 936,Leonard,Texas,75452,4090,Sub,42,Tuesday,14,8,2,7,69.26247190766101,0
Personal Care,2.04,Female,27479 Reeves Dale,Whaleyville,Maryland,21872,718,Regulatory affairs officer,34,Tuesday,0,12,16,7,33.76208518949462,0
Travel,8.91,Male,094 Owens Underpass,Norwalk,California,90650,105549,Firefighter,46,Sunday,12,13,18,8,118.47278184682675,0
Home,43.35,Female,43039 Riley Greens Suite 393,Orient,Washington,99160,149,Special educational needs teacher,42,Monday,44,22,6,4,35.971442405124456,0
Kids Pets,79.81,Male,0701 John Ranch,Portland,Oregon,97210,841711,"Engineer, building services",56,Sunday,22,15,9,6,91.54764534152177,0
Entertainment,112.86,Male,673 Delgado Burg,Greenwich,New Jersey,8323,804,Insurance risk surveyor,54,Sunday,49,18,6,1,45.41734034987814,0
Food Dining,51.55,Male,8580 Moore Cove,Wales,Alaska,99783,145,"Administrator, education",80,Thursday,28,23,12,12,77.6741190797792,0
Shopping Net,111.58,Female,2924 Bobby Trafficway,Sebring,Florida,33872,50835,Environmental consultant,34,Tuesday,16,12,26,5,79.94460884550006,0
Grocery Pos,96.18,Female,477 Alejandro Knolls Suite 828,Gardiner,Oregon,97441,260,"Engineer, maintenance",63,Monday,2,7,30,12,58.97408167066854,0
Food Dining,3.97,Female,57256 Raymond Ports,Knoxville,Tennessee,37932,391389,"Designer, industrial/product",25,Saturday,19,12,28,9,65.39053824243692,0
Entertainment,87.04,Male,861 Karen Common,Haw River,North Carolina,27258,6006,Paramedic,35,Wednesday,28,23,10,4,134.81957702857363,0
Grocery Pos,212.15,Female,138 Stephen Ridges Apt. 978,Umatilla,Florida,32784,11432,Private music teacher,33,Friday,28,7,24,5,99.3430394543685,0
Kids Pets,63.18,Male,27909 Peter Motorway,Cadiz,Kentucky,42211,13422,Commissioning editor,58,Saturday,59,18,14,12,56.49969627596472,0
Shopping Pos,28.63,Female,91644 Crystal Drives,Eagarville,Illinois,62023,91,Materials engineer,57,Monday,17,9,30,9,38.18163709319679,0
Home,111.47,Female,17666 David Valleys,Sun City,California,92585,54287,"Designer, exhibition/display",47,Saturday,13,16,1,6,58.27403525298952,0
Kids Pets,54.45,Male,767 Adam Mill Apt. 115,Espanola,New Mexico,87533,18408,Historic buildings inspector/conservation officer,47,Tuesday,10,12,30,4,85.6441113365084,0
Home,71.03,Male,04611 Sandra Spring Suite 059,Rumely,Michigan,49826,137,Film/video editor,29,Tuesday,56,14,11,6,29.506681162101145,0
Gas Transport,57.12,Male,05597 Michael Spurs,Parks,Arizona,86018,759,"Geologist, engineering",62,Monday,52,3,30,9,63.48208086532399,0
Gas Transport,45.05,Female,44197 Jeffrey Port Suite 050,Bridgeport,New Jersey,8014,504,"Engineer, control and instrumentation",40,Thursday,40,6,5,3,44.867916481635,0
Misc Net,270.85,Female,742 Oneill Shore,Florence,Mississippi,39073,19685,Fine artist,35,Thursday,45,2,12,12,36.57936416715845,0
Entertainment,75.99,Male,624 Hale Springs Apt. 572,Meadville,Missouri,64659,964,Tourist information centre manager,45,Tuesday,17,15,16,4,76.77538291501992,0
Misc Pos,4.55,Female,77663 Colleen Freeway,Moundsville,West Virginia,26041,16183,Physiotherapist,43,Wednesday,57,9,29,1,19.20142988170916,0
Home,32.81,Female,58188 Madison Meadow Apt. 949,Cowlesville,New York,14037,1166,Colour technologist,36,Monday,58,20,20,5,32.721295084599724,0
Grocery Pos,89.1,Male,153 Mccullough Springs Apt. 857,Lamberton,Minnesota,56152,1507,Land/geomatics surveyor,26,Sunday,19,3,15,12,61.53360903604611,0
Home,104.07,Male,28711 Kristine Junction Suite 309,Greenville,Ohio,45331,22930,Media planner,49,Monday,17,20,24,2,97.47770613151877,0
Health Fitness,36.54,Male,464 Newman Crossroad,Milwaukee,Wisconsin,53228,817312,"Accountant, chartered public finance",15,Saturday,20,19,21,12,106.25410775829215,0
Shopping Pos,9.53,Male,242 Brian Mountain,Laredo,Texas,78040,248858,Video editor,48,Friday,56,19,25,1,82.60227390769757,0
Gas Transport,60.45,Male,01892 Patricia Vista Apt. 828,Sachse,Texas,75048,20328,Site engineer,35,Tuesday,34,1,19,5,31.367880405128442,0
Entertainment,163.77,Female,561 Perry Cove,Moravian Falls,North Carolina,28654,3495,"Psychologist, counselling",32,Friday,33,22,17,4,101.00147767812379,0
Grocery Pos,114.11,Male,6366 French Field,Margaretville,New York,12455,1988,Environmental health practitioner,41,Monday,26,11,5,8,78.96711250748037,0
Shopping Net,102.59,Male,3512 Knight Center,Lorenzo,Texas,79343,1571,Petroleum engineer,37,Monday,26,7,16,9,112.54284298277852,0
Entertainment,16.09,Female,222 Freeman Islands,Whigham,Georgia,39897,3430,"Editor, commissioning",70,Monday,53,10,10,2,105.70130720957229,0
Kids Pets,44.83,Male,555 Michael Burgs,Mayersville,Mississippi,39113,595,Technical brewer,41,Wednesday,17,17,5,2,57.77870901485328,0
Health Fitness,90.69,Female,28812 Charles Mill Apt. 628,Plantersville,Alabama,36758,1412,Drilling engineer,49,Saturday,45,20,23,2,103.60593826718275,0
Grocery Pos,110.06,Female,8851 Reese Neck,Basye,Virginia,22810,863,"Engineer, mining",48,Wednesday,12,5,22,4,117.7858450243889,0
Home,106.42,Male,61390 Hayes Port,Romulus,Michigan,48174,31515,Police officer,48,Sunday,43,18,15,9,87.0120068729698,0
Gas Transport,67.54,Male,1198 Robert Stravenue Apt. 479,Armonk,New York,10504,7987,Television/film/video producer,55,Monday,12,1,29,4,65.06153301004636,0
Food Dining,25.35,Female,40624 Rebecca Spurs,De Witt,Arkansas,72042,5161,Electrical engineer,26,Sunday,28,16,19,5,87.34105575548877,0
Shopping Pos,15.14,Female,25961 Beverly Union Apt. 042,North Wilkesboro,North Carolina,28659,21134,Dispensing optician,35,Saturday,59,16,4,5,10.687066412986818,0
Grocery Pos,118.78,Female,071 Wise Trace,Coleharbor,North Dakota,58531,307,Make,89,Friday,39,10,22,3,24.279839268695472,0
Grocery Pos,168.84,Male,0547 Russell Ford Suite 574,Kirk,Colorado,80824,207,Network engineer,64,Tuesday,11,4,20,8,58.104887132161025,0
Misc Pos,38.99,Male,6993 Carr Lodge Apt. 311,Jordan Valley,Oregon,97910,641,Economist,26,Saturday,59,3,6,7,92.80257882510095,0
Health Fitness,72.59,Male,426 Mark Ports,Brooklin,Maine,4616,824,"Loss adjuster, chartered",45,Tuesday,44,18,19,11,73.7534566387491,0
Gas Transport,78.08,Male,32941 Krystal Mill Apt. 552,Titusville,Florida,32780,54767,Set designer,32,Thursday,11,7,2,5,98.40998049023642,0
Grocery Pos,110.11,Female,6313 Scott Trace,Rossville,Illinois,60963,1807,"Buyer, retail",44,Saturday,18,0,28,12,90.92477551718858,0
Gas Transport,44.53,Male,5930 Rebecca Bridge Apt. 444,Paint Rock,Alabama,35764,653,Paediatric nurse,54,Thursday,34,9,16,1,118.10521150582278,0
Entertainment,8.94,Female,526 Stacy Walks,Barnard,South Dakota,57426,63,Systems developer,50,Saturday,37,12,1,6,36.885515790328895,0
Entertainment,344.08,Female,516 Brown Parks,Manistique,Michigan,49854,6469,Trade mark attorney,40,Thursday,56,14,1,8,94.85232574571657,0
Grocery Net,57.62,Female,1441 Bradley Place,Grover,North Carolina,28073,5621,Toxicologist,47,Monday,17,3,24,2,56.13863426695271,0
Entertainment,37.8,Female,658 Diane Glen Apt. 677,North Washington,Pennsylvania,16048,139,Patent attorney,65,Tuesday,48,16,25,6,96.41344489619478,0
Kids Pets,81.46,Female,32301 Albert River Suite 364,Ronceverte,West Virginia,24970,4575,Statistician,29,Sunday,53,16,16,2,76.45912270303918,0
Food Dining,10.49,Male,5323 Walker Island,Pittsburgh,Pennsylvania,15217,687276,"Scientist, marine",47,Friday,7,22,12,6,70.3667457030668,0
Shopping Net,9.86,Female,702 Tabitha Drive,New Goshen,Indiana,47863,205,"Engineer, mining",59,Wednesday,26,7,21,8,69.373115123711,0
Entertainment,94.37,Female,3531 Hamilton Highway,Roma,Texas,78584,18128,IT trainer,30,Monday,24,14,27,1,76.66253526785763,0
Misc Pos,10.53,Female,8172 Robertson Parkways Suite 072,Superior,Arizona,85173,2872,Petroleum engineer,32,Tuesday,4,3,11,6,98.45432153559624,0
Shopping Net,113.19,Male,39218 Baker Shoals,Bristow,Indiana,47515,965,Horticultural therapist,37,Friday,8,5,25,10,71.49472502097666,0
Personal Care,7.41,Male,54822 Hill Forks,Dieterich,Illinois,62424,2092,"Psychologist, clinical",57,Sunday,57,22,2,6,46.67682977868192,0
Gas Transport,65.26,Female,144 Martinez Curve,Central,Indiana,47110,350,Counsellor,65,Thursday,36,0,20,2,82.48016644589921,0
